genres,keywords,original_title,overview,popularity,runtime,spoken_languages,title,vote_average,vote_count,cast,director
Drama Action Thriller War,paris guerrilla cinema self sacrifice dynamite,Inglourious Basterds,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",72.595961,153.0,"[{""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}]",Inglourious Basterds,7.9,6430,Brad Pitt M\u00e9lanie Laurent Christoph Waltz Eli Roth Michael Fassbender,Quentin Tarantino
Adventure Fantasy Comedy Family,flying swordplay sword fantasy peter pan,Hook,"The boy who wasn't supposed to grow up—Peter Pan—did just that, becoming a soulless corporate lawyer whose workaholism could cost him his wife and kids. But a trip to see Granny Wendy in London, where the vengeful Capt. Hook kidnaps Peter's kids and forces Peter to return to Neverland, could lead to a chance at redemption, in this family-oriented fantasy from director Steven Spielberg.",33.648404,144.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Hook,6.6,1532,Robin Williams Dustin Hoffman Julia Roberts Bob Hoskins Maggie Smith,Steven Spielberg
Action Thriller,ambush helicopter journalist based on novel airport,Die Hard 2,"John McClane is an off-duty cop gripped with a feeling of déjà vu when on a snowy Christmas Eve in the nation's capital, terrorists seize a major international airport, holding thousands of holiday travelers hostage. Renegade military commandos led by a murderous rogue officer plot to rescue a drug lord from justice and are prepared for every contingency except one: McClane's smart-mouthed heroics.",57.69846999999999,124.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Die Hard 2,6.6,1896,Bruce Willis Bonnie Bedelia William Atherton Reginald VelJohnson Franco Nero,Renny Harlin
Drama Mystery Romance Science Fiction Thriller,amnesia ex-girlfriend virtual reality,Vanilla Sky,"David Aames (Tom Cruise) has it all: wealth, good looks and gorgeous women on his arm. But just as he begins falling for the warmhearted Sofia (Penelope Cruz), his face is horribly disfigured in a car accident. That's just the beginning of his troubles as the lines between illusion and reality, between life and death, are blurred.",27.299301,136.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Vanilla Sky,6.5,1078,Tom Cruise Pen\u00e9lope Cruz Cameron Diaz Kurt Russell Jason Lee,Cameron Crowe
Adventure Science Fiction Action,saving the world predator laserpointer space marine pyramid,AVP: Alien vs. Predator,"When scientists discover something in the Arctic that appears to be a buried Pyramid, they send a research team out to investigate. Little do they know that they are about to step into a hunting ground where Aliens are grown as sport for the Predator race.",42.957216,101.0,"[{""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",AVP: Alien vs. Predator,5.5,1217,Sanaa Lathan Raoul Bova Ewen Bremner Colin Salmon Tommy Flanagan,Paul W.S. Anderson
Action Thriller,white house secret service terrorist attack,Olympus Has Fallen,"When the White House (Secret Service Code: ""Olympus"") is captured by a terrorist mastermind and the President is kidnapped, disgraced former Presidential guard Mike Banning finds himself trapped within the building. As the national security team scrambles to respond, they are forced to rely on Banning's inside knowledge to help retake the White House, save the President and avert an even bigger disaster.",59.428223,120.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ko"", ""name"": ""\ud55c\uad6d\uc5b4/\uc870\uc120\ub9d0""}]",Olympus Has Fallen,6.2,2981,Gerard Butler Aaron Eckhart Angela Bassett Morgan Freeman Radha Mitchell,Antoine Fuqua
Action Science Fiction,saving the world hero marine corps chaos retirement,Battle: Los Angeles,"The Earth is attacked by unknown forces. As people everywhere watch the world's great cities fall, Los Angeles becomes the last stand for mankind in a battle no one expected. It's up to a Marine staff sergeant and his new platoon to draw a line in the sand as they take on an enemy unlike any they've ever encountered before.",49.199234,116.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Battle: Los Angeles,5.5,1448,Aaron Eckhart Ram\u00f3n Rodr\u00edguez Will Rothhaar Cory Hardrict Jim Parrack,Jonathan Liebesman
Adventure Fantasy Drama,circus father son relationship witch fish fishing,Big Fish,"Throughout his life Edward Bloom has always been a man of big appetites, enormous passions and tall tales. In his later years, he remains a huge mystery to his son, William. Now, to get to know the real man, Will begins piecing together a true picture of his father from flashbacks of his amazing adventures.",46.199482,125.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Big Fish,7.6,1994,Ewan McGregor Albert Finney Billy Crudup Jessica Lange Helena Bonham Carter,Tim Burton
War Drama History Action,world war ii nazis art theft post world war ii,The Monuments Men,"Based on the true story of the greatest treasure hunt in history, The Monuments Men is an action drama focusing on seven over-the-hill, out-of-shape museum directors, artists, architects, curators, and art historians who went to the front lines of WWII to rescue the world’s artistic masterpieces from Nazi thieves and return them to their rightful owners.  With the art hidden behind enemy lines, how could these guys hope to succeed?",43.873266,118.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",The Monuments Men,5.8,1523,Matt Damon Cate Blanchett George Clooney Bill Murray John Goodman,George Clooney
Horror Action Drama Fantasy War,vampire dracula bite battle 15th century,Dracula Untold,"Vlad Tepes is a great hero, but when he learns the Sultan is preparing for battle and needs to form an army of 1,000 boys, including Vlad's son, he vows to find a way to protect his family. Vlad turns to dark forces in order to get the power to destroy his enemies and agrees to go from hero to monster as he's turned into the mythological vampire Dracula.",64.45794699999999,92.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Dracula Untold,6.2,2389,Luke Evans Sarah Gadon Dominic Cooper Art Parkinson Charles Dance,Gary Shore
Adventure Fantasy Romance Family,witch based on novel new love prince beauty,Stardust,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm. His journey takes him into a world beyond his wildest dreams and reveals his true identity.",48.03273400000001,127.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Stardust,7.1,1184,Claire Danes Charlie Cox Michelle Pfeiffer Robert De Niro Sienna Miller,Matthew Vaughn
Fantasy Action Horror,vampire daughter hybrid child vampire werewolf,Underworld: Awakening,"After being held in a coma-like state for fifteen years, vampire Selene learns that she has a fourteen-year-old vampire/Lycan hybrid daughter named Nissa, and when she finds her, they must stop BioCom from creating super Lycans that will kill them all.",58.40120400000001,88.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Underworld: Awakening,6.1,1862,Kate Beckinsale Stephen Rea Michael Ealy Theo James India Eisley,M\u00e5ns M\u00e5rlind
Action Thriller,prison muslim ship mystery science fiction,Escape Plan,"Ray Breslin is the world's foremost authority on structural security. After analyzing every high security prison and learning a vast array of survival skills so he can design escape-proof prisons, his skills are put to the test. He's framed and incarcerated in a master prison he designed himself. He needs to escape and find the person who put him behind bars.",44.478043,115.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""ar"", ""name"": ""\u0627\u0644\u0639\u0631\u0628\u064a\u0629""}, {""iso_639_1"": ""ur"", ""name"": ""\u0627\u0631\u062f\u0648""}]",Escape Plan,6.7,1659,Sylvester Stallone Arnold Schwarzenegger Jim Caviezel Vinnie Jones 50 Cent,Mikael H\u00e5fstr\u00f6m
Adventure Fantasy Drama Romance,vampire graduation bite immortality werewolf,The Twilight Saga: Eclipse,"Bella once again finds herself surrounded by danger as Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacob, knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. With her graduation quickly approaching, Bella is confronted with the most important decision of her life.",107.069763,124.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The Twilight Saga: Eclipse,5.8,2301,Kristen Stewart Robert Pattinson Taylor Lautner Ashley Greene Peter Facinelli,David Slade
Animation Family,adoptive father orphanage life's dream rivalry stealing,Despicable Me,"Villainous Gru lives up to his reputation as a despicable, deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care.",113.858273,95.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Despicable Me,7.1,6478,Steve Carell Jason Segel Russell Brand Julie Andrews Will Arnett,Pierre Coffin
Comedy,sperm bank sequel buddy courthouse teddy bear,Ted 2,"Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law.",68.734513,115.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Ted 2,6.2,2463,Mark Wahlberg Seth MacFarlane Amanda Seyfried Jessica Barth Giovanni Ribisi,Seth MacFarlane
Action Fantasy Horror,usa president vampire steam locomotive american civil war 19th century,Abraham Lincoln: Vampire Hunter,"President Lincoln's mother is killed by a supernatural creature, which fuels his passion to crush vampires and their slave-owning helpers.",38.634767,94.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Abraham Lincoln: Vampire Hunter,5.5,1269,Benjamin Walker Dominic Cooper Anthony Mackie Mary Elizabeth Winstead Rufus Sewell,Timur Bekmambetov
Drama History War,war crimes self sacrifice war veteran world war ii war ship,Saving Private Ryan,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",76.04186700000002,169.0,"[{""iso_639_1"": ""cs"", ""name"": ""\u010cesk\u00fd""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",Saving Private Ryan,7.9,5048,Tom Hanks Matt Damon Vin Diesel Tom Sizemore Barry Pepper,Steven Spielberg
Action Crime Drama Thriller,street race super cars super speed car based on video game,Need for Speed,"The film revolves around a local street-racer who partners with a rich and arrogant business associate, only to find himself framed by his colleague and sent to prison. After he gets out, he joins a New York-to-Los Angeles race to get revenge. But when the ex-partner learns of the scheme, he puts a massive bounty on the racer's head, forcing him to run a cross-country gauntlet of illegal racers in all manner of supercharged vehicles.",54.81489000000001,130.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Need for Speed,6.1,1520,Aaron Paul Dominic Cooper Imogen Poots Rami Malek Ram\u00f3n Rodr\u00edguez,Scott Waugh
Animation Comedy Family Adventure,human evolution parents kids relationship squirrel ice loss of child,Ice Age,"With the impending ice age almost upon them, a mismatched trio of prehistoric critters – Manny the woolly mammoth, Diego the saber-toothed tiger and Sid the giant sloth – find an orphaned infant and decide to return it to its human parents. Along the way, the unlikely allies become friends but, when enemies attack, their quest takes on far nobler aims.",99.561972,81.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Ice Age,7.1,3857,Ray Romano John Leguizamo Denis Leary Goran Visnjic Jack Black,Chris Wedge
History Drama,usa president speech battlefield family conflict mourning,Lincoln,"A revealing drama that focuses on the 16th President's tumultuous final months in office. In a nation divided by war and the strong winds of change, Lincoln pursues a course of action designed to end the war, unite the country and abolish slavery. With the moral courage and fierce determination to succeed, his choices during this critical moment will change the fate of generations to come.",36.307296,149.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Lincoln,6.7,1429,Daniel Day-Lewis Sally Field David Strathairn Joseph Gordon-Levitt James Spader,Steven Spielberg
Action Science Fiction,saving the world artificial intelligence man vs machine philosophy prophecy,The Matrix,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",104.309993,136.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The Matrix,7.9,8907,Keanu Reeves Laurence Fishburne Carrie-Anne Moss Hugo Weaving Gloria Foster,Lilly Wachowski
Drama,moon florida nasa spaceman race against time,Apollo 13,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1971, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.",68.140214,140.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Apollo 13,7.3,1599,Tom Hanks Bill Paxton Kevin Bacon Gary Sinise Ed Harris,Ron Howard
Drama Music Romance,france robbery brothel mayor star,Les Misérables,"An adaptation of the successful stage musical based on Victor Hugo's classic novel set in 19th-century France, in which a paroled prisoner named Jean Valjean seeks redemption.",48.356214,157.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Les Misérables,7.1,1884,Hugh Jackman Russell Crowe Anne Hathaway Amanda Seyfried Sacha Baron Cohen,Tom Hooper
Comedy,becoming an adult autonomy childhood trauma hostility step brother,Step Brothers,"Brennan Huff and Dale Doback might be grown men. But that doesn't stop them from living at home and turning into jealous, competitive stepbrothers when their single parents marry. Brennan's constant competition with Dale strains his mom's marriage to Dale's dad, leaving everyone to wonder whether they'll ever see eye to eye.",22.977983,98.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Step Brothers,6.5,1062,Will Ferrell John C. Reilly Mary Steenburgen Richard Jenkins Adam Scott,Adam McKay
Action Adventure,california spy hero horseback riding sword fight,The Mask of Zorro,"It has been twenty years since Don Diego de la Vega fought Spanish oppression in Alta California as the legendary romantic hero, Zorro. Having escaped from prison he transforms troubled bandit Alejandro into his successor, in order to foil the plans of the tyrannical Don Rafael Montero who robbed him of his freedom, his wife and his precious daughter.",31.086791,136.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The Mask of Zorro,6.3,1183,Antonio Banderas Anthony Hopkins Catherine Zeta-Jones Stuart Wilson Diego Sieres,Martin Campbell
Comedy Drama,highway slacker hitchhiker wallet sunglasses,Due Date,"Peter Highman must scramble across the US in five days to be present for the birth of his first child. He gets off to a bad start when his wallet and luggage are stolen, and put on the 'no-fly' list. Peter embarks on a terrifying journey when he accepts a ride from an actor.",43.865294,95.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Due Date,6.2,1685,Robert Downey Jr. Zach Galifianakis Michelle Monaghan Jamie Foxx Juliette Lewis,Todd Phillips
Drama War,world war ii prisoners of war biography sport war,Unbroken,"A chronicle of the life of Louis Zamperini, an Olympic runner who was taken prisoner by Japanese forces during World War II.",43.055253,137.0,"[{""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}]",Unbroken,7.3,1400,Jack O'Connell Domhnall Gleeson Garrett Hedlund Miyavi Finn Wittrock,Angelina Jolie
Comedy,kurdish,The Dictator,The heroic story of a dictator who risks his life to ensure that democracy would never come to the country he so lovingly oppressed.,31.349143,83.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""he"", ""name"": ""\u05e2\u05b4\u05d1\u05b0\u05e8\u05b4\u05d9\u05ea""}]",The Dictator,5.9,1743,Sacha Baron Cohen Sayed Badreya Aasif Mandvi Megan Fox Anna Faris,Larry Charles
Mystery Drama,life and death sexual obsession free love heterosexual christmas party,Eyes Wide Shut,"After Dr. Bill Hartford's wife, Alice, admits to having sexual fantasies about a man she met, Bill becomes obsessed with having a sexual encounter. He discovers an underground sexual group and attends one of their meetings -- and quickly discovers that he is in over his head.",27.870312,159.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Eyes Wide Shut,7.1,1234,Tom Cruise Nicole Kidman Madison Eginton Jackie Sawiris Sydney Pollack,Stanley Kubrick
Romance Comedy Crime Drama,seduction con man femme fatale deception rivalry,Focus,"Nicky, a veteran con artist, takes a novice named Jess under his wing. While Nicky teaches Jess the tricks of the trade, the pair become romantically involved; but, when Jess gets uncomfortably close, Nicky ends their relationship. Three years later, Nicky is in Buenos Aires working a very dangerous scheme when Jess -- now an accomplished femme fatale -- unexpectedly shows up. Her appearance throws Nicky for a loop at a time when he cannot afford to be off his game.",59.63402900000001,105.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Focus,6.7,2542,Will Smith Margot Robbie Rodrigo Santoro Robert Taylor Gerald McRaney,Glenn Ficarra
Action Comedy Romance,love triangle friendship dating sushi bar exploding airplane,This Means War,Two top CIA operatives wage an epic battle against one another after they discover they are dating the same woman.,38.994297,103.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",This Means War,5.9,1389,Reese Witherspoon Chris Pine Tom Hardy Laura Vandervoort Angela Bassett,McG
Science Fiction Action Horror Thriller Adventure,fbi dracula fistfight vampire hunter superhero,Blade: Trinity,"For years, Blade has fought against the vampires in the cover of the night. But now, after falling into the crosshairs of the FBI, he is forced out into the daylight, where he is driven to join forces with a clan of human vampire hunters he never knew existed - The Nightstalkers. Together with Abigail and Hannibal, two deftly trained Nightstalkers, Blade follows a trail of blood to the ancient creature that is also hunting him, the original vampire, Dracula.",49.660055,123.0,"[{""iso_639_1"": ""eo"", ""name"": ""Esperanto""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Blade: Trinity,5.7,1252,Wesley Snipes Kris Kristofferson Dominic Purcell Jessica Biel Ryan Reynolds,David S. Goyer
Action Horror Science Fiction,mutant dystopia sequel conspiracy tokyo japan,Resident Evil: Retribution,"The Umbrella Corporation’s deadly T-virus continues to ravage the Earth, transforming the global population into legions of the flesh eating Undead. The human race’s last and only hope, Alice, awakens in the heart of Umbrella’s most clandestine operations facility and unveils more of her mysterious past as she delves further into the complex. Without a safe haven, Alice continues to hunt those responsible for the outbreak; a chase that takes her from Tokyo to New York, Washington, D.C. and Moscow, culminating in a mind-blowing revelation that will force her to rethink everything that she once thought to be true. Aided by new found allies and familiar friends, Alice must fight to survive long enough to escape a hostile world on the brink of oblivion. The countdown has begun.",6.227675,95.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Resident Evil: Retribution,5.6,1600,Milla Jovovich Sienna Guillory Michelle Rodriguez Aryana Engineer Li Bingbing,Paul W.S. Anderson
Action Thriller Science Fiction,car race dystopia matter of life and death prison guard car set on fire,Death Race,"Terminal Island, New York: 2020. Overcrowding in the US penal system has reached a breaking point. Prisons have been turned over to a monolithic Weyland Corporation, which sees jails full of thugs as an opportunity for televised sport. Adrenalized inmates, a global audience hungry for violence and a spectacular, enclosed arena come together to form the 'Death Race', the biggest, most brutal event.",42.57877,105.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Death Race,6.0,1175,Jason Statham Joan Allen Ian McShane Tyrese Gibson Natalie Martinez,Paul W.S. Anderson
Drama,support group dual identity nihilism rage and hate insomnia,Fight Club,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",146.75739099999996,139.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Fight Club,8.3,9413,Edward Norton Brad Pitt Meat Loaf Jared Leto Helena Bonham Carter,David Fincher
Crime Thriller,detective dystopia dominatrix murder suspense,Sin City: A Dame to Kill For,Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.,85.428395,102.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Sin City: A Dame to Kill For,6.3,1286,Mickey Rourke Jessica Alba Josh Brolin Joseph Gordon-Levitt Rosario Dawson,Robert Rodriguez
Adventure Drama,mountains snow storm hiking climbing snow,Everest,"Inspired by the incredible events surrounding a treacherous attempt to reach the summit of the world's highest mountain, ""Everest"" documents the awe-inspiring journey of two different expeditions challenged beyond their limits by one of the fiercest snowstorms ever encountered by mankind. Their mettle tested by the harshest of elements found on the planet, the climbers will face nearly impossible obstacles as a lifelong obsession becomes a breathtaking struggle for survival.",60.24697800000001,121.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Everest,6.7,1772,Jason Clarke Jake Gyllenhaal Josh Brolin John Hawkes Sam Worthington,Baltasar Korm\u00e1kur
Crime Fantasy Drama,paris female nudity prostitute small town obsession,Perfume: The Story of a Murderer,"Jean-Baptiste Grenouille, born in the stench of 18th century Paris, develops a superior olfactory sense, which he uses to create the world's finest perfumes. However, his work takes a dark turn as he tries to preserve scents in the search for the ultimate perfume.",42.551902,147.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Perfume: The Story of a Murderer,7.1,1165,Ben Whishaw Simon Chandler David Calder Richard Felix Birgit Minichmayr,Tom Tykwer
Adventure Science Fiction,exotic island dna paleontology tyrannosaurus rex triceratops,Jurassic Park,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",40.413191,127.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Jurassic Park,7.6,4856,Sam Neill Laura Dern Jeff Goldblum Richard Attenborough Bob Peck,Steven Spielberg
Crime Drama Mystery Western,bounty hunter wyoming mountains narration hangman,The Hateful Eight,Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception.,68.717016,167.0,"[{""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",The Hateful Eight,7.6,4274,Samuel L. Jackson Kurt Russell Jennifer Jason Leigh Walton Goggins Demi\u00e1n Bichir,Quentin Tarantino
Action Adventure War,evisceration javelin shield army fall from height,300,"Based on Frank Miller's graphic novel, ""300"" is very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians; the battle is said to have inspired all of Greece to band together against the Persians, and helped usher in the world's first democracy.",65.197968,117.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",300,7.0,4997,Gerard Butler Lena Headey Dominic West David Wenham Vincent Regan,Zack Snyder
Comedy Romance,cia parents kids relationship florida anti-authoritarian upbringing jew,Meet the Fockers,"Hard-to-crack ex-CIA man, Jack Byrnes and his wife, Dina head for the warmer climes of Florida to meet son-in-law-to-be, Greg Focker's parents. Unlike their happily matched offspring, the future in-laws find themselves in a situation of opposites that definitely do not attract.",32.829538,115.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Meet the Fockers,6.1,1373,Ben Stiller Teri Polo Robert De Niro Dustin Hoffman Barbra Streisand,Jay Roach
Comedy Family,journalist based on novel puppy dog duringcreditsstinger,Marley & Me,"A newly married couple who, in the process of starting a family, learn many of life's important lessons from their trouble-loving retriever, Marley. Packed with plenty of laughs to lighten the load, the film explores the highs and lows of marriage, maturity and confronting one's own mortality, as seen through the lens of family life with a dog.",30.951203000000003,115.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Marley & Me,6.9,1343,Owen Wilson Jennifer Aniston Eric Dane Kathleen Turner Alan Arkin,David Frankel
Fantasy Drama Crime,southern usa black people mentally disabled based on novel heal,The Green Mile,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cellblock's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",103.698022,189.0,"[{""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",The Green Mile,8.2,4048,Tom Hanks Michael Clarke Duncan David Morse Bonnie Hunt James Cromwell,Frank Darabont
Mystery Thriller Drama,based on novel marriage crisis disappearance cheating husband missing person,Gone Girl,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",143.041543,145.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Gone Girl,7.9,5862,Ben Affleck Rosamund Pike Carrie Coon Neil Patrick Harris Tyler Perry,David Fincher
Action Drama Mystery Thriller,paris barcelona spain assassin based on novel secret identity,The Bourne Identity,"Wounded to the brink of death and suffering from amnesia, Jason Bourne is rescued at sea by a fisherman. With nothing to go on but a Swiss bank account number, he starts to reconstruct his life, but finds that many people he encounters want him dead. However, Bourne realizes that he has the combat and mental skills of a world-class spy – but who does he work for?",86.47681700000004,119.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""nl"", ""name"": ""Nederlands""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}]",The Bourne Identity,7.3,3583,Matt Damon Franka Potente Chris Cooper Clive Owen Brian Cox,Doug Liman
Adventure Action Thriller,cuba falsely accused secret identity computer virus secret base,GoldenEye,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,59.824565,130.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",GoldenEye,6.6,1174,Pierce Brosnan Sean Bean Izabella Scorupco Famke Janssen Joe Don Baker,Martin Campbell
Comedy Drama,claustrophobia hidden camera dystopia reality show make believe,The Truman Show,"Truman Burbank is the star of ""The Truman Show"", a 24-hour-a-day ""reality"" TV show that broadcasts every aspect of his life -- live and in color -- without his knowledge. His entire life has been an unending soap opera for consumption by the rest of the world. And everyone he knows -- including his wife and his best friend -- is really an actor, paid to be part of his life.",56.488027,103.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The Truman Show,7.8,4537,Jim Carrey Laura Linney Noah Emmerich Natascha McElhone Ed Harris,Peter Weir
Action Comedy Crime,undercover undercover agent based on comic book money fugitive,2 Guns,A DEA agent and an undercover Naval Intelligence officer who have been tasked with investigating one another find they have been set up by the mob -- the very organization the two men believe they have been stealing money from.,42.881415,109.0,"[{""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",2 Guns,6.6,1589,Denzel Washington Mark Wahlberg Paula Patton Bill Paxton Fred Ward,Baltasar Korm\u00e1kur
Action Crime,venice california train station helicopter austria,The Italian Job,"Charlie Croker pulled off the crime of a lifetime. The one thing that he didn't plan on was being double-crossed. Along with a drop-dead gorgeous safecracker, Croker and his team take off to re-steal the loot and end up in a pulse-pounding, pedal-to-the-metal chase that careens up, down, above and below the streets of Los Angeles.",62.766854,110.0,"[{""iso_639_1"": ""uk"", ""name"": ""\u0423\u043a\u0440\u0430\u0457\u043d\u0441\u044c\u043a\u0438\u0439""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}]",The Italian Job,6.6,1919,Mark Wahlberg Charlize Theron Edward Norton Seth Green Jason Statham,F. Gary Gray
Adventure Animation Comedy Family,general hero worker ant work,Antz,"In this animated hit, a neurotic worker ant in love with a rebellious princess rises to unlikely stardom when he switches places with a soldier. Signing up to march in a parade, he ends up under the command of a bloodthirsty general. But he's actually been enlisted to fight against a termite army.",41.51570200000001,83.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Antz,6.0,1272,Woody Allen Dan Aykroyd Anne Bancroft Danny Glover Gene Hackman,Eric Darnell
